evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_ALL,LGBM_TEMPORAL,3,2026-05,2026-08,1298.082441868694,973.111193294099,0.7496528432302244,False,2040,65,2026-05
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2026-05,2026-08,1298.082441868694,735.3145328468329,0.5664621206864862,False,2040,43,2026-05
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2026-05,2026-08,1257.5164071514487,1361.4832838658401,1.0826763580364722,False,2040,65,2026-05
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2026-05,2026-08,1257.5164071514487,1274.0797587815387,1.0131714795416544,False,2040,43,2026-05
EVALUATION_ALL,LGBM_TEMPORAL,6,2024-08,2025-02,1906.4547968994145,3728.0103920903634,1.9554674981822058,False,633,51,2024-08
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,6,2024-08,2025-02,1906.4547968994145,3683.020792228748,1.931868931914186,False,633,24,2024-08
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,6,2024-08,2025-02,1688.125918689107,4006.8441523411443,2.3735457811420897,False,633,51,2024-08
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,6,2024-08,2025-02,1688.125918689107,3893.1193010243605,2.3061782642656854,False,633,24,2024-08
EVALUATION_ALL,LGBM_TEMPORAL,6,2024-09,2025-03,1889.1007285741487,15494.714989891603,8.20216453020304,True,718,104,2024-09
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,6,2024-09,2025-03,1889.1007285741487,8598.538227692165,4.55165682678136,True,718,69,2024-09
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,6,2024-09,2025-03,1706.2960964780723,15673.526521216418,9.1857014462893,True,718,104,2024-09
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,6,2024-09,2025-03,1706.2960964780723,8727.240565724633,5.11472808484901,True,718,69,2024-09
EVALUATION_ALL,LGBM_TEMPORAL,6,2024-11,2025-05,1880.7432703801667,12073.291533409347,6.419425619408913,True,753,55,2024-11
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,6,2024-11,2025-05,1880.7432703801667,,,False,753,0,2024-11
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,6,2024-11,2025-05,1681.206713360999,10322.634803465933,6.1400152173014755,True,753,55,2024-11
